Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Filmjölks- o gräddfilsås olika smaksättningar ca 9% fett	100	0,3	498	119	3,5	4,8	0,0	9,6	6,0	2,3	0,4	0,9	0,3	0,9	2,7	1,0	0,0	0,1	2,1	0,3	0,1	0,0	0,0	0,0	0,0	0,1	3,3	0,2	107	75	0,10	0,44	0,44	377	0,05	0,16	7	1,0	0,2	0,06	0,36	17	87	0,31	193	123	13	317	1,9	0,56	30,4	1,5	80,3	1	
Filodeg plattor	100	2,4	1 209	289	8,0	57,9	0,0	1,9	0,2	0,6	0,5	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,6	0,4	0,1	0,0	0,0	0,0	0,0	0,4	2,6	0,1	0	0	0,00	0,45	0,45	1	0,14	0,03	0	2,6	1,3	0,09	0,00	17	86	1,47	124	63	23	253	8,6	0,59	0,0	1,1	28,7	0	
Fisk m mandel o ströbröd fryst	100	0,7	741	177	14,0	5,3	0,0	11,0	5,3	4,0	1,3	0,5	0,4	0,7	2,4	1,2	0,1	0,2	3,6	0,9	0,2	0,0	0,1	0,0	0,2	0,0	0,2	0,0	90	90	0,45	0,34	0,34	0	0,05	0,03	0	4,7	2,1	0,11	0,80	6	70	0,40	350	20	21	400	20,0	0,40	81,0	2,6	66,4	0	
Fisk rökt	100	0,0	968	231	21,1	0,0	0,0	16,5	4,0	6,2	4,7	0,0	0,0	1,0	2,5	0,3	0,0	1,0	3,1	0,6	0,4	0,1	0,8	0,2	1,5	0,0	0,0	0,0	47	47	7,80	1,02	1,02	0	0,12	0,25	0	11,0	7,2	0,40	11,53	12	239	0,94	347	26	29	989	24,4	0,72	86,9	3,5	58,9	26	
Fiskbuljong konc storhushåll	100	0,0	903	216	25,0	17,5	0,0	4,9	2,4	2,0	0,2	0,0	0,0	0,2	1,2	1,0	0,0	0,2	1,7	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	48	48	0,48	0,00	0,00	0	0,30	1,20	0	8,5	3,9	0,48	4,79	96	192	1,80	463	59	120	18 600	0,0	0,00	0,0	48,4	4,2	0	
Fiskbuljong konc storhushåll låg salt	100	0,0	1 116	267	35,0	23,0	0,0	3,5	1,8	1,4	0,2	0,0	0,0	0,2	0,9	0,7	0,0	0,2	1,2	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	49	49	0,00	0,00	0,00	0	0,49	0,49	0	16,3	9,9	0,49	0,49	99	197	0,40	1 100	100	123	13 700	0,0	0,00	0,0	37,2	1,3	0	
Fiskbuljong ätf	100	0,0	18	4	0,3	0,3	0,0	0,2	0,1	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	1	0,01	0,00	0,00	0	0,01	0,01	0	0,3	0,2	0,01	0,10	2	4	0,10	7	4	3	295	0,0	0,00	0,0	1,2	98,0	0	
Fiskbullar frysta	100	0,0	327	78	7,8	6,2	0,0	2,4	1,3	0,6	0,2	0,2	0,1	0,2	0,6	0,2	0,0	0,0	0,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	40	40	0,30	0,16	0,16	0	0,04	0,04	0	2,4	1,0	0,06	0,50	4	122	0,20	207	58	10	860	20,0	0,40	35,0	1,6	82,0	0	
Fiskbullar frysta kokta	100	0,0	279	67	6,7	5,3	0,0	2,1	1,1	0,5	0,2	0,1	0,1	0,2	0,5	0,2	0,0	0,0	0,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	34	34	0,26	0,14	0,14	0	0,03	0,03	0	2,1	0,9	0,05	0,38	2	106	0,19	178	54	9	1 751	17,1	0,34	29,9	3,9	82,1	0	
Fiskbullar i buljong konserv stuvade m mjölk	100	0,1	370	88	5,7	7,5	0,0	3,9	1,2	1,6	0,8	0,2	0,0	0,2	0,6	0,2	0,0	0,0	1,5	0,6	0,2	0,0	0,0	0,0	0,0	0,0	2,2	0,0	37	36	0,21	0,53	0,53	6	0,05	0,08	0	1,9	0,7	0,05	0,49	3	106	0,11	204	90	13	817	13,4	0,46	26,5	2,1	80,7	0	
