Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Abborre	100	0,0	359	86	19,8	0,0	0,0	0,6	0,1	0,1	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	15	15	21,40	0,74	0,74	0	0,15	0,11	0	8,9	5,3	0,47	3,49	12	219	0,24	389	16	27	33	44,1	0,52	77,8	1,0	78,6	60	
Abborre kokt	100	0,0	453	108	25,0	0,0	0,0	0,8	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	19	19	26,98	0,93	0,93	0	0,17	0,13	0	11,2	6,6	0,56	3,96	10	276	0,31	491	21	34	200	55,6	0,66	98,1	1,7	72,6	76	
Abborrfilé panerad stekt	100	0,3	599	143	18,7	3,8	0,0	5,7	0,8	3,0	1,6	0,0	0,0	0,0	0,5	0,2	0,0	0,1	2,9	0,9	0,4	0,0	0,0	0,0	0,1	0,1	0,1	0,0	27	27	18,84	1,87	1,87	3	0,13	0,11	0	8,2	4,7	0,34	2,68	12	216	0,44	364	21	28	450	40,3	0,55	95,2	2,0	69,4	53	
A-fil 3% fett	100	0,0	251	60	3,4	4,8	0,0	3,0	2,0	0,7	0,1	0,3	0,1	0,3	0,9	0,4	0,0	0,0	0,7	0,1	0,0	0,0	0,0	0,0	0,0	0,0	3,8	0,0	26	25	0,02	0,07	0,07	14	0,04	0,14	0	0,9	0,1	0,04	0,27	11	91	0,04	162	116	12	41	1,8	0,44	10,2	0,7	88,0	0	
Agar torkad	100	0,0	1 313	314	2,3	74,3	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,4	0,0	0,00	0,00	0	14	9,00	29	690	33	4	0,0	0,00	0,0	3,2	19,9	0	
Ajvar relish grönsakspasta m paprika aubergin	100	3,2	294	70	1,3	6,9	0,0	3,5	0,4	0,8	1,6	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,8	1,6	0,1	0,0	0,0	0,0	0,0	5,0	2,6	2,6	211	4	0,00	5,39	5,39	1 900	0,03	0,20	61	1,4	1,2	0,59	0,00	52	27	0,90	228	11	12	493	0,3	0,21	0,0	1,7	83,4	0	
Alfalfagroddar	100	3,0	133	32	4,0	0,9	0,0	0,7	0,1	0,1	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,2	0,2	0,0	0,0	0,0	0,0	0,4	0,4	0,0	8	0	0,00	0,20	0,20	96	0,08	0,13	8	1,2	0,5	0,03	0,00	36	70	1,00	79	32	27	6	1,0	0,90	0,0	0,4	91,0	0	
All-Bran FiberBar Naturell	100	16,5	1 867	446	6,9	49,9	0,0	20,8	4,4	7,0	3,6	0,0	0,0	0,1	3,5	0,6	0,1	0,0	6,9	3,6	0,1	0,0	0,0	0,0	0,0	7,6	15,3	13,6	5	5	0,46	7,92	7,92	3	2,00	2,02	0	18,7	17,6	2,58	0,00	259	296	8,00	358	86	78	361	3,0	1,66	19,6	2,5	3,5	0	
Alpro soja	100	0,0	786	188	2,9	5,2	0,0	17,5	1,8	3,5	8,8	0,0	0,0	0,0	1,0	0,6	0,0	0,0	3,4	8,6	0,2	0,0	0,0	0,0	0,0	1,9	1,8	0,2	0	0	0,00	16,40	16,40	0	0,03	0,00	0	0,5	0,1	0,02	0,00	11	43	0,26	72	11	13	55	0,4	0,23	0,0	0,4	74,1	0	
Ambrosiakaka	100	0,8	1 836	439	5,2	54,6	0,0	22,0	5,9	11,0	4,9	0,0	0,3	0,2	3,9	0,7	0,1	0,1	10,8	3,5	1,4	0,0	0,0	0,0	0,0	0,2	32,8	32,4	141	140	1,56	4,19	4,19	10	0,12	0,09	1	2,2	1,2	0,09	0,23	12	157	0,68	63	133	10	295	4,8	0,32	69,7	1,2	16,3	2	
Amerikanska cookies choklad	100	2,5	2 032	486	5,2	63,3	0,0	22,9	10,1	9,6	2,2	0,3	0,4	0,4	5,5	3,3	0,1	0,1	9,3	1,8	0,4	0,0	0,0	0,0	0,0	3,7	40,2	38,5	43	41	0,00	3,07	3,07	16	0,02	0,13	0	1,5	0,6	0,06	0,14	17	145	2,71	339	55	40	323	3,8	0,94	27,5	1,6	4,5	0	
Amerikanska muffins ospec	100	1,6	1 804	431	5,8	46,8	0,0	24,3	2,2	14,0	6,7	0,0	0,0	0,0	1,4	0,6	0,1	0,1	13,5	4,7	1,8	0,0	0,0	0,0	0,0	0,5	25,4	24,2	42	41	0,00	3,07	3,07	2	0,03	0,12	0	1,9	0,4	0,05	0,00	16	212	1,07	183	35	16	292	4,5	0,55	63,7	1,3	20,2	0	
Ananas	100	1,2	230	55	0,4	11,7	0,0	0,4	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	3,7	7,5	7,5	1	0	0,00	0,10	0,10	12	0,09	0,04	15	0,5	0,4	0,09	0,00	11	7	0,20	113	7	14	1	0,6	0,10	0,0	0,3	86,0	48	
Ananas konserv m juice	100	1,0	260	62	0,4	14,2	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,2	8,5	8,5	2	0	0,00	0,03	0,03	24	0,10	0,02	10	0,4	0,3	0,08	0,00	5	6	0,30	122	14	14	1	0,2	0,10	0,0	0,3	84,0	0	
Ananas konserv m medelsöt lag	100	1,0	362	87	0,4	20,2	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,7	16,3	16,3	1	0	0,00	0,03	0,03	6	0,09	0,02	7	0,4	0,3	0,07	0,00	5	7	0,30	104	14	17	1	0,2	0,10	0,0	0,3	78,0	0	
Ananas- och citronfromage	100	0,5	773	185	2,9	19,4	0,0	10,6	6,4	2,7	0,3	1,0	0,3	1,0	2,9	1,1	0,0	0,1	2,5	0,2	0,1	0,0	0,0	0,0	0,0	2,0	17,1	16,4	107	102	0,23	0,45	0,45	60	0,05	0,08	4	0,8	0,1	0,06	0,24	9	39	0,40	89	29	8	22	3,4	0,16	75,7	0,4	66,3	1	
Ananasjuice konserv drickf	100	0,5	230	55	0,3	12,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	7,4	4,4	4,4	1	0	0,00	0,03	0,03	6	0,06	0,02	11	0,4	0,3	0,10	0,00	23	8	0,30	134	17	13	1	0,2	0,10	0,0	0,3	86,0	0	
Andbröst	100	0,0	497	119	19,9	0,0	0,0	4,3	1,3	1,2	0,6	0,0	0,0	0,1	0,7	0,3	0,0	0,2	1,0	0,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	16	16	0,40	0,06	0,06	0	0,42	0,31	0	7,1	3,4	0,63	0,80	25	186	4,50	270	3	22	57	20,0	0,70	80,0	1,3	74,5	0	
Anka m skinn	100	0,0	1 657	396	11,5	0,0	0,0	39,5	13,2	18,7	5,1	0,0	0,0	0,3	9,6	3,2	0,0	1,6	16,7	4,7	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	51	51	1,40	0,50	0,50	0	0,20	0,21	3	6,1	4,0	0,19	0,20	13	139	1,20	210	11	20	63	20,0	1,40	76,0	0,7	48,3	28	
Ansjovis skarpsill inlagd	100	0,0	898	215	12,5	11,8	0,0	13,1	3,0	5,5	3,4	0,0	0,0	0,9	1,8	0,1	0,0	0,7	1,7	0,3	0,2	0,1	0,7	0,1	1,2	0,2	2,7	2,7	57	54	0,21	0,64	0,64	32	0,02	0,16	0	4,5	2,2	0,45	10,00	5	141	1,30	145	99	13	2 750	20,0	1,80	90,0	9,6	53,0	28	
Apelsin	100	1,9	216	52	0,8	10,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,3	3,6	3,6	3	0	0,00	0,55	0,55	38	0,08	0,04	53	0,4	0,3	0,06	0,00	30	20	0,20	158	46	10	0	0,2	0,10	0,0	0,4	86,0	29	
Apelsinjuice färskpressad	100	0,1	200	48	0,7	10,6	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,8	0,7	0,7	10	0	0,00	0,24	0,24	120	0,09	0,03	50	0,5	0,4	0,04	0,00	30	17	0,20	200	11	11	1	0,2	0,10	0,0	0,4	88,0	0	
Apelsinjuice pastöriserad drickf	100	0,1	181	43	0,6	9,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,2	2,2	2,2	0	0	0,00	0,10	0,10	3	0,06	0,03	35	0,4	0,3	0,09	0,00	15	14	0,40	175	8	11	2	0,2	0,00	0,0	0,4	89,0	0	
Apelsinmarmelad	100	0,7	976	233	0,2	56,9	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	31,6	22,5	22,5	1	0	0,00	0,10	0,10	16	0,01	0,01	5	0,2	0,2	0,00	0,00	5	2	0,30	20	20	1	20	0,3	0,00	0,0	0,2	42,0	0	
Apelsinmarmelad lättsockrad	100	0,7	774	185	0,5	44,5	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	24,3	17,3	17,3	4	0	0,00	0,10	0,10	48	0,01	0,01	5	0,2	0,1	0,00	0,00	5	4	0,10	20	10	1	20	0,3	0,00	0,0	0,2	54,0	0	
Apelsinnektar pastöriserad osötad drickf berik	100	0,0	131	31	0,5	7,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,3	1,1	1,1	1	0	0,00	0,10	0,10	10	0,06	0,01	15	0,3	0,2	0,03	0,00	22	11	0,10	127	6	5	1	0,0	0,00	0,0	0,3	92,0	0	
Apelsinris	100	1,0	648	155	1,4	14,6	0,0	9,9	6,5	2,3	0,2	1,0	0,3	1,0	2,9	1,1	0,0	0,1	2,1	0,2	0,1	0,0	0,0	0,0	0,0	2,7	6,0	5,3	87	82	0,07	0,51	0,51	65	0,05	0,04	20	0,5	0,2	0,05	0,06	18	32	0,16	113	42	9	7	0,4	0,21	27,6	0,5	72,5	15	
Apelsinsaft berik drickf	100	0,0	128	31	0,0	7,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,5	4,9	4,9	1	0	0,00	0,00	0,00	6	0,01	0,00	25	0,0	0,0	0,00	0,00	1	2	0,00	19	1	6	4	0,0	0,00	0,0	0,0	92,5	0	
Apelsinsaft berik konc	100	0,0	813	194	0,3	47,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	15,6	30,4	30,4	5	0	0,00	0,10	0,10	54	0,04	0,00	140	0,2	0,1	0,00	0,00	5	7	0,00	96	4	0	22	0,0	0,00	0,0	0,2	52,0	0	
Apelsinsallad	100	1,9	249	59	0,8	12,8	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,2	5,7	5,7	3	0	0,00	0,54	0,54	37	0,08	0,04	39	0,4	0,3	0,06	0,00	29	20	0,20	155	45	10	0	0,2	0,10	0,0	0,4	84,1	28	
Apelsinskal	100	3,7	433	104	1,5	21,8	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	21	0	0,00	0,00	0,00	250	0,12	0,09	136	1,2	0,9	0,18	0,00	2	21	0,80	210	161	22	3	0,2	0,00	0,0	0,8	72,0	0	
Apelsinsoppa	100	0,4	220	53	0,6	12,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,3	6,3	6,3	3	0	0,00	0,25	0,25	35	0,05	0,01	16	0,3	0,2	0,02	0,00	22	13	0,11	141	16	8	2	0,1	0,06	0,0	0,3	86,6	5	
Aprikos	100	2,1	214	51	1,4	9,3	0,0	0,4	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,0	2,5	5,8	5,8	131	0	0,00	4,00	4,00	1 570	0,03	0,04	10	0,8	0,6	0,05	0,00	9	19	0,50	295	14	8	1	0,2	0,30	0,0	0,8	86,0	7	
Aprikoser konserv m juice	100	1,6	217	52	0,6	11,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,5	5,8	5,8	84	0	0,00	2,00	2,00	1 010	0,02	0,02	5	0,4	0,3	0,05	0,00	2	20	0,30	165	12	10	4	0,2	0,10	0,0	0,4	86,0	0	
Aprikoser konserv m medelsöt lag	100	1,3	494	118	0,5	27,7	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,5	16,0	16,0	62	0	0,00	0,89	0,89	740	0,02	0,02	3	0,5	0,4	0,05	0,00	2	12	0,40	140	9	9	4	0,2	0,30	0,0	0,4	70,0	0	
Aprikoser torkade	100	12,0	1 024	245	3,6	49,9	0,0	0,5	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,0	12,6	29,5	29,5	363	0	0,00	6,20	6,20	4 350	0,01	0,15	2	3,6	3,0	0,16	0,00	10	117	6,00	1 380	45	41	10	0,5	0,70	0,0	3,0	31,0	0	
Aprikosnektar pastöriserad drickf	100	1,3	242	58	0,3	13,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,1	5,0	5,0	66	0	0,00	0,53	0,53	790	0,01	0,01	0	0,4	0,3	0,02	0,00	1	9	0,40	82	7	5	1	0,1	0,10	0,0	0,2	85,0	0	
Arraksboll	100	1,9	1 922	459	5,8	59,3	0,0	21,6	7,9	9,7	3,3	0,3	2,1	0,8	3,3	1,1	0,0	0,1	9,6	2,9	0,4	0,0	0,0	0,0	0,0	0,2	48,5	47,8	95	94	0,72	5,91	5,91	14	0,07	0,16	0	2,0	1,0	0,06	0,05	22	144	2,54	190	44	70	110	1,6	0,89	11,4	1,0	10,4	0	
Aubergine	100	2,5	105	25	1,1	3,7	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,8	0,1	0,1	4	0	0,00	0,03	0,03	42	0,09	0,02	2	0,8	0,6	0,09	0,00	18	33	0,60	305	18	16	2	7,0	0,20	0,0	0,6	92,0	19	
Aubergine kokt	100	2,7	112	27	1,2	3,9	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,1	0,1	4	0	0,00	0,03	0,03	45	0,07	0,01	1	0,8	0,6	0,06	0,00	13	36	0,65	326	20	17	297	7,5	0,21	0,0	1,4	90,7	20	
Aubergine stekt	100	2,5	247	59	1,1	3,8	0,0	3,9	0,4	2,3	1,2	0,0	0,0	0,0	0,2	0,1	0,0	0,0	2,3	0,8	0,3	0,0	0,0	0,0	0,0	2,8	0,1	0,1	6	0	0,00	0,99	0,99	73	0,06	0,01	1	0,8	0,6	0,06	0,00	13	34	0,63	313	21	17	298	7,1	0,21	0,0	1,4	87,3	19	
Avokado	100	3,3	701	168	2,0	4,4	0,0	15,3	1,8	11,5	1,3	0,0	0,0	0,0	1,8	0,0	0,0	0,5	11,0	1,3	0,1	0,0	0,0	0,0	0,0	0,3	0,1	0,1	3	0	0,00	1,30	1,30	34	0,11	0,12	8	2,2	1,9	0,28	0,00	62	41	1,00	600	11	39	10	1,0	0,40	0,0	1,0	74,0	33	
Avorio ris	100	1,2	1 499	358	6,7	78,1	0,0	1,3	0,2	0,4	0,4	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,4	0,4	0,0	0,0	0,0	0,0	0,0	0,6	0,4	0,4	0	0	0,00	0,03	0,03	0	0,21	0,04	0	8,5	7,4	0,63	0,00	25	188	0,30	192	5	50	1	2,7	1,14	0,0	1,0	11,7	0	
Bacon gris	100	0,0	1 441	345	13,4	0,0	0,0	32,8	13,7	14,8	2,8	0,0	0,0	0,5	8,5	4,5	0,1	0,8	13,4	2,3	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,48	0,40	0,40	0	0,37	0,10	0	5,2	2,8	0,14	0,93	2	142	0,60	190	7	15	820	8,0	1,15	58,0	3,2	50,6	0	
Bacon lättbacon gris	100	0,0	476	114	19,4	0,0	0,0	3,5	1,2	1,5	0,4	0,0	0,0	0,0	0,8	0,4	0,0	0,1	1,4	0,3	0,0	0,0	0,0	0,0	0,0	0,6	0,2	0,1	5	5	0,10	0,18	0,18	2	0,93	0,14	0	11,1	7,5	0,47	0,25	9	168	0,58	353	7	19	1 327	12,0	1,38	41,2	4,4	71,7	0	
Bacon magert gris rökt stekt	100	0,0	1 252	299	51,2	0,0	0,0	9,1	3,2	3,9	1,1	0,0	0,0	0,1	2,0	1,1	0,0	0,3	3,6	0,8	0,1	0,1	0,0	0,0	0,0	1,5	0,6	0,3	13	13	0,26	0,47	0,47	5	1,71	0,30	0	29,2	19,7	0,99	0,53	18	443	1,53	930	19	49	3 491	31,5	3,63	108,4	11,6	25,6	0	
Bagel m rökt lax philadelphiaost sallad	100	2,5	886	212	9,0	26,8	0,0	7,0	3,0	2,0	1,2	0,2	0,1	0,5	1,6	0,4	0,0	0,2	1,4	0,5	0,1	0,1	0,2	0,1	0,3	1,2	1,8	0,0	31	25	2,45	0,69	0,69	67	0,12	0,07	0	4,3	2,2	0,16	0,41	24	102	0,57	198	25	21	544	4,1	0,56	18,8	1,9	52,9	0	
Bagel m salami philadelphiaost sallad oliv	100	2,9	695	166	5,9	17,2	0,0	7,5	3,6	2,7	0,6	0,2	0,1	0,4	1,9	0,9	0,0	0,1	2,5	0,5	0,1	0,0	0,0	0,0	0,0	1,9	1,3	0,0	19	14	0,10	0,32	0,32	64	0,08	0,07	3	2,4	1,0	0,10	0,21	16	58	0,82	146	43	13	328	2,1	0,48	15,7	1,4	65,1	0	
Baguette grov m ost skinka sallad lättmajonnäs	100	3,5	768	184	7,7	25,9	0,0	4,6	1,5	1,9	0,8	0,1	0,1	0,2	0,8	0,3	0,0	0,0	1,8	0,6	0,2	0,0	0,0	0,0	0,0	1,5	1,6	0,0	17	14	0,10	0,37	0,37	41	0,14	0,13	0	3,5	1,7	0,12	0,21	24	127	0,96	185	72	25	335	3,0	0,93	8,3	1,5	56,8	0	
Baguette grov m skaldjur tonfisk smögenröra sallad	100	2,9	790	189	5,7	26,2	0,0	6,1	0,4	2,5	1,3	0,0	0,0	0,0	0,3	0,1	0,0	0,0	2,4	0,9	0,4	0,0	0,0	0,0	0,0	1,7	1,3	0,0	6	0	0,10	2,08	2,08	63	0,08	0,05	1	2,7	1,6	0,10	0,17	20	86	0,84	169	29	22	292	5,8	0,45	6,2	1,3	57,9	0	
Baguette m rostbiff potatissallad sallad	100	2,5	824	197	6,6	28,4	0,0	5,7	0,7	3,0	1,5	0,0	0,0	0,0	0,4	0,2	0,0	0,0	2,9	1,0	0,5	0,0	0,0	0,0	0,0	1,0	1,0	0,0	6	4	0,10	0,15	0,15	22	0,08	0,06	0	2,3	1,1	0,10	0,21	20	71	0,84	156	25	16	403	1,8	0,87	7,7	1,5	55,4	0	
Baguette m salami brieost soltorkad tomat sallad	100	1,9	1 006	240	9,3	19,7	0,0	13,4	5,7	4,7	1,9	0,3	0,4	0,7	3,0	1,1	0,0	0,2	4,3	1,6	0,2	0,0	0,0	0,0	0,0	1,7	1,1	0,0	70	60	0,21	1,54	1,54	119	0,16	0,12	0	3,9	1,7	0,15	0,24	26	107	0,87	244	105	22	715	3,7	0,99	29,0	2,7	53,0	0	
Bakad potatis m kesoröra paprika	100	2,4	390	93	4,0	15,8	0,0	0,9	0,5	0,3	0,1	0,0	0,0	0,1	0,2	0,1	0,0	0,0	0,3	0,1	0,0	0,0	0,0	0,0	0,0	0,7	0,2	0,0	7	6	0,10	0,12	0,12	9	0,04	0,05	0	2,2	1,3	0,25	0,13	23	55	0,41	448	15	21	151	1,8	0,34	2,8	1,3	75,7	0	
Bakad potatis m kycklingcurryröra sallad	100	3,0	652	156	3,3	7,1	0,0	12,2	1,3	6,3	3,8	0,0	0,1	0,0	0,8	0,2	0,1	0,0	6,1	2,9	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	16	13	0,20	3,27	3,27	40	0,05	0,04	6	2,5	1,9	0,15	0,10	18	56	0,46	347	15	18	113	1,8	0,42	17,3	1,1	73,3	0	
Bakad potatis m skagenröra sallad	100	2,7	666	159	3,1	11,2	0,0	10,8	1,7	5,4	3,1	0,1	0,1	0,1	1,0	0,3	0,1	0,0	5,2	2,3	0,8	0,0	0,0	0,0	0,0	0,9	0,3	0,0	22	18	0,10	2,58	2,58	38	0,05	0,04	6	2,1	1,6	0,17	0,14	14	48	0,35	364	27	22	151	2,4	0,37	20,0	1,2	70,9	0	
Bakpulver	100	0,5	727	174	0,1	42,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	8 400	0,00	49	11 300	9	11 800	0,0	2,80	0,0	50,7	6,3	0	
Bambuskott konserv u lag	100	0,5	100	24	1,7	3,1	0,0	0,4	0,1	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,9	0,3	0,3	1	0	0,00	0,20	0,20	6	0,03	0,03	1	0,4	0,1	0,10	0,00	36	25	0,30	80	8	4	7	1,0	0,20	0,0	0,3	94,0	0	
Banan	100	1,7	423	101	1,0	22,0	0,0	0,5	0,2	0,1	0,1	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	7,1	6,4	6,4	4	0	0,00	0,55	0,55	48	0,04	0,10	9	0,7	0,5	0,58	0,00	19	20	0,40	395	6	33	1	0,5	0,20	0,0	0,8	74,0	37	
Banan torkad	100	7,5	1 567	374	3,9	80,8	0,0	1,8	0,7	0,2	0,3	0,0	0,0	0,0	0,6	0,0	0,0	0,0	0,1	0,2	0,1	0,0	0,0	0,0	0,0	31,0	27,9	27,9	16	0	0,00	0,00	0,00	186	0,18	0,24	7	3,5	2,8	0,00	0,00	36	74	1,20	1 490	22	108	3	1,9	0,60	0,0	3,0	3,0	0	
Basilika färsk	100	3,9	104	25	2,5	0,4	0,0	0,6	0,0	0,1	0,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,3	0,0	0,0	0,0	0,0	0,0	0,3	0,3	263	0	0,00	0,80	0,80	3 142	0,03	0,07	18	1,4	0,9	0,13	0,00	64	69	3,17	462	154	81	4	0,3	0,85	0,0	1,6	91,0	0	
Basmatiris kokt	100	0,2	499	119	3,1	25,5	0,0	0,3	0,1	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0	0	0,00	0,00	0,00	0	0,04	0,01	0	0,9	0,4	0,08	0,00	2	34	0,14	26	7	9	361	4,7	0,50	0,0	1,1	69,8	0	
Basmatiris okokt	100	0,5	1 501	359	9,2	76,7	0,0	1,0	0,2	0,3	0,3	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,3	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,2	0	0	0,00	0,00	0,00	0	0,14	0,05	0	2,8	1,3	0,42	0,00	9	101	0,40	76	18	26	0	14,0	1,50	0,0	0,6	12,0	0	
Béarnaisesås	100	0,1	1 803	431	2,6	1,4	0,0	46,9	6,1	27,9	13,2	0,0	0,1	0,1	3,0	1,4	0,3	0,3	27,4	8,7	3,7	0,1	0,0	0,0	0,1	0,3	0,1	0,1	95	88	0,59	11,31	11,31	77	0,02	0,05	1	0,7	0,0	0,03	0,33	17	87	0,95	49	28	6	326	4,4	0,22	191,2	1,1	47,9	0	
Béarnaisesås fryst el pulver tillagad	100	0,0	935	224	2,6	6,7	0,0	21,0	7,5	9,4	3,2	0,3	1,0	0,7	3,0	2,3	0,2	0,3	8,6	2,6	0,6	0,0	0,0	0,0	0,0	0,1	3,0	0,0	90	90	0,20	2,10	2,10	0	0,02	0,09	0	0,5	0,0	0,08	0,00	5	80	0,30	96	62	2	520	3,0	0,00	74,0	1,7	68,0	0	
Biff à la Lindström stekt fryst	100	2,4	805	193	12,8	5,8	0,0	12,7	5,3	5,9	0,8	0,0	0,0	0,3	3,1	1,5	0,0	0,6	5,0	0,5	0,1	0,0	0,0	0,0	0,0	0,9	2,3	2,3	50	49	0,63	0,65	0,65	9	0,70	0,10	0	5,4	3,0	0,20	1,50	12	117	1,60	270	39	25	760	2,0	2,90	68,0	3,3	63,0	0	
Biff à la Lindström stekt hemlagad	100	0,7	618	148	12,3	6,1	0,0	8,1	3,1	3,7	0,8	0,0	0,2	0,2	1,6	0,9	0,0	0,3	3,2	0,6	0,1	0,0	0,0	0,0	0,0	0,4	2,5	2,5	13	12	0,59	0,58	0,58	9	0,15	0,10	2	4,8	2,5	0,22	0,70	12	112	1,70	250	16	20	345	2,0	2,10	65,0	1,8	71,0	0	
